,ticker,name,sector
358,OMC,Omnicom Group,Communication Services
359,OKE,ONEOK,Energy
360,ORCL,Oracle Corp.,Information Technology
361,PCAR,PACCAR Inc.,Industrials
362,PKG,Packaging Corporation of America,Materials
363,PH,Parker-Hannifin,Industrials
364,PAYX,Paychex Inc.,Information Technology
365,PYPL,PayPal,Information Technology
366,PNR,Pentair plc,Industrials
367,PBCT,People's United Financial,Financials
368,PEP,PepsiCo Inc.,Consumer Staples
369,PKI,PerkinElmer,Health Care
370,PRGO,Perrigo,Health Care
371,PFE,Pfizer Inc.,Health Care
372,PM,Philip Morris International,Consumer Staples
373,PSX,Phillips 66,Energy
374,PNW,Pinnacle West Capital,Utilities
375,PXD,Pioneer Natural Resources,Energy
376,PNC,PNC Financial Services,Financials
377,RL,Polo Ralph Lauren Corp.,Consumer Discretionary
378,PPG,PPG Industries,Materials
379,PPL,PPL Corp.,Utilities
380,PFG,Principal Financial Group,Financials
381,PG,Procter & Gamble,Consumer Staples
382,PGR,Progressive Corp.,Financials
383,PLD,Prologis,Real Estate
384,PRU,Prudential Financial,Financials
385,PEG,Public Serv. Enterprise Inc.,Utilities
386,PSA,Public Storage,Real Estate
387,PHM,Pulte Homes Inc.,Consumer Discretionary
388,PVH,PVH Corp.,Consumer Discretionary
389,QRVO,Qorvo,Information Technology
390,PWR,Quanta Services Inc.,Industrials
391,QCOM,QUALCOMM Inc.,Information Technology
392,DGX,Quest Diagnostics,Health Care
393,RJF,Raymond James Financial Inc.,Financials
394,RTN,Raytheon Co.,Industrials
395,O,Realty Income Corporation,Real Estate
396,RHT,Red Hat Inc.,Information Technology
397,REG,Regency Centers Corporation,Real Estate
398,REGN,Regeneron,Health Care
399,RF,Regions Financial Corp.,Financials
400,RSG,Republic Services Inc,Industrials
401,RMD,ResMed,Health Care
402,RHI,Robert Half International,Industrials
403,ROK,Rockwell Automation Inc.,Industrials
404,ROL,Rollins Inc.,Industrials
405,ROP,Roper Technologies,Industrials
406,ROST,Ross Stores,Consumer Discretionary
